Player,Overall_Shooting_Rating,Total_Shots,Goals,Goal_Rate_%,Avg_Shot_Quality,Shot_Consistency,Best_Shot,Worst_Shot
guidetti,81.5,25,6,24.0,77.9,22.2,100.0,36.0
daniel guiza,79.4,31,2,6.5,78.5,22.4,100.0,31.0
chicharito,79.3,27,5,18.5,76.5,22.8,100.0,38.0
filip daems,78.6,22,5,22.7,75.2,24.7,97.0,33.0
nilmar,78.5,27,3,11.1,76.9,22.7,100.0,38.0
toche,78.4,20,4,20.0,75.4,25.1,100.0,39.0
andrija delibasic,78.0,36,7,19.4,75.1,25.6,100.0,29.0
jese,77.9,59,14,23.7,74.4,24.4,100.0,34.0
cedric mongongu,77.7,23,7,30.4,73.2,26.8,98.0,32.0
ilan,77.6,22,7,31.8,72.8,24.5,100.0,35.0
stefan reisinger,77.3,47,10,21.3,74.1,24.1,100.0,38.0
sebastian polter,76.8,45,7,15.6,74.5,24.4,99.0,37.0
davie selke,76.5,55,11,20.0,73.5,24.0,100.0,33.0
giuseppe de luca,76.3,27,6,22.2,73.0,24.5,100.0,38.0
raul tamudo,76.2,50,10,20.0,73.2,21.9,100.0,37.0
marco sau,75.9,137,28,20.4,72.9,24.0,100.0,35.0
patrick helmes,75.6,45,12,26.7,71.6,25.5,100.0,35.0
bas dost,75.5,137,36,26.3,71.6,24.6,100.0,31.0
marouane chamakh,75.2,30,6,20.0,72.2,24.8,99.0,36.0
jeremy perbet,74.9,41,10,24.4,71.2,24.6,100.0,37.0
lisandro,74.8,63,16,25.4,71.0,25.0,100.0,34.0
stefan scepovic,74.7,25,6,24.0,71.1,25.4,100.0,32.0
julio tavares,74.7,24,6,25.0,70.9,24.6,100.0,36.0
javier hernandez,74.7,112,28,25.0,70.9,24.3,100.0,31.0
teemu pukki,74.5,35,8,22.9,71.1,24.7,100.0,35.0
benik afobe,74.4,34,7,20.6,71.3,24.4,100.0,35.0
edouard butin,74.4,46,9,19.6,71.5,24.5,100.0,36.0
libor kozak,74.3,42,6,14.3,72.2,23.4,100.0,41.0
kevin gameiro,74.2,303,63,20.8,71.1,24.6,100.0,27.0
emmanuel adebayor,74.2,74,14,18.9,71.4,24.4,100.0,33.0
yoshinori muto,73.9,37,9,24.3,70.3,23.5,100.0,34.0
aduriz,73.9,124,24,19.4,71.0,23.9,100.0,29.0
felipe caicedo,73.7,75,17,22.7,70.3,25.3,100.0,32.0
oussama assaidi,73.7,24,4,16.7,71.2,24.9,100.0,33.0
valere germain,73.6,149,30,20.1,70.6,23.3,100.0,33.0
bernardo silva,73.5,105,20,19.0,70.6,24.0,100.0,32.0
carlos bacca,73.5,230,57,24.8,69.8,24.4,100.0,31.0
per nilsson,73.5,37,9,24.3,69.8,25.6,99.0,35.0
mario mandzukic,73.4,329,67,20.4,70.3,24.6,100.0,31.0
federico piovaccari,73.1,27,5,18.5,70.3,23.6,100.0,36.0
claudio pizarro,73.1,200,47,23.5,69.6,24.8,100.0,33.0
casimir ninga,73.1,53,11,20.8,70.0,25.5,100.0,36.0
carlos henrique,73.1,28,5,17.9,70.4,24.8,98.0,36.0
david villa,73.0,152,28,18.4,70.2,24.6,100.0,31.0
ronnie schwartz,73.0,22,2,9.1,71.6,24.5,100.0,30.0
tana,72.9,41,8,19.5,70.0,25.4,100.0,34.0
jorge molina,72.8,164,29,17.7,70.1,24.5,100.0,31.0
lorenzo tonelli,72.6,23,9,39.1,66.7,23.6,100.0,43.0
josip drmic,72.6,97,24,24.7,68.9,25.7,100.0,27.0
arkadiusz milik,72.5,38,6,15.8,70.1,25.5,99.0,32.0
lucas barrios,72.4,63,15,23.8,68.9,24.3,100.0,35.0
rolando,72.3,26,7,26.9,68.3,25.7,99.0,37.0
karim benzema,72.3,434,85,19.6,69.4,24.8,100.0,29.0
theo walcott,72.3,136,23,16.9,69.8,25.2,100.0,27.0
lionel messi,72.2,914,205,22.4,68.8,24.1,100.0,30.0
moussa sow,72.2,47,6,12.8,70.3,25.2,100.0,34.0
sebastien squillaci,72.2,37,5,13.5,70.2,24.0,97.0,40.0
joshua kimmich,72.2,23,4,17.4,69.6,25.0,99.0,35.0
obafemi martins,72.2,34,7,20.6,69.1,25.4,100.0,33.0
seba fernandez,72.2,49,6,12.2,70.3,25.7,100.0,34.0
moritz hartmann,72.1,65,12,18.5,69.4,24.8,100.0,33.0
dario cvitanich,72.0,116,30,25.9,68.1,25.1,100.0,26.0
stefan kiessling,72.0,359,67,18.7,69.2,25.0,100.0,32.0
clinton njie,72.0,76,10,13.2,70.0,25.3,100.0,34.0
daniel ginczek,71.9,79,12,15.2,69.7,24.0,100.0,33.0
nikola kalinic,71.9,119,21,17.6,69.3,24.5,100.0,29.0
gonzalo higuain,71.9,552,118,21.4,68.7,24.6,100.0,30.0
robert lewandowski,71.9,633,124,19.6,69.0,24.0,100.0,26.0
nikola djurdjic,71.8,34,6,17.6,69.2,24.3,100.0,36.0
tomas pekhart,71.8,112,13,11.6,70.1,23.7,100.0,35.0
jonas hofmann,71.8,38,5,13.2,69.8,24.1,100.0,30.0
diego costa,71.8,410,93,22.7,68.4,24.7,100.0,29.0
kylian mbappelottin,71.8,20,4,20.0,68.8,24.3,98.0,35.0
karim onisiwo,71.7,24,2,8.3,70.4,26.2,100.0,35.0
enrique de lucas,71.7,23,3,13.0,69.8,23.9,100.0,32.0
alexandre lacazette,71.6,391,88,22.5,68.2,25.2,100.0,29.0
callum wilson,71.6,48,11,22.9,68.1,23.5,100.0,38.0
igor budan,71.6,33,7,21.2,68.5,24.4,97.0,38.0
simon zoller,71.5,48,8,16.7,69.0,25.3,100.0,33.0
alfred finnbogason,71.5,52,9,17.3,68.9,23.5,100.0,35.0
rodrigo palacio,71.5,297,57,19.2,68.7,24.8,100.0,31.0
glenn murray,71.5,75,11,14.7,69.3,23.7,99.0,34.0
ioannis fetfatzidis,71.5,27,4,14.8,69.3,24.8,100.0,32.0
nelson valdez,71.4,42,7,16.7,68.9,23.5,100.0,36.0
robert beric,71.4,21,5,23.8,67.8,25.4,100.0,34.0
miroslav klose,71.3,205,51,24.9,67.6,25.0,100.0,31.0
mario gomez,71.2,221,48,21.7,68.0,24.6,100.0,30.0
stefan lex,71.2,30,2,6.7,70.2,25.3,100.0,32.0
torsten oehrl,71.2,51,7,13.7,69.1,24.2,100.0,28.0
gary hooper,71.1,44,6,13.6,69.0,22.8,100.0,35.0
fernando llorente,71.1,282,56,19.9,68.2,24.2,100.0,31.0
thomas muller,71.0,390,67,17.2,68.4,24.2,100.0,33.0
carlos castro,71.0,17,5,29.4,79.1,20.1,100.0,33.0
